gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
899945148	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/550534	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.027631	-122.960491	5.0						2014-03-02T14:33:27	2	3	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	550534		Scott Loarie	2014-04-24T06:28:38	CC_BY_NC_4_0	Stacie Vance	Stacie Vance			2025-01-22T02:28:36.045Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891768320	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/467756	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.967811	-117.25948	260.0						2013-11-23	23	11	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	467756		Michele Roman	2013-11-25T20:55:44	CC_BY_NC_4_0	Michele Roman	Michele Roman			2025-01-22T00:53:46.774Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891768109	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/467426	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.012384	-117.273588	132.0						2013-11-23T11:11:08	23	11	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	467426		BJ Stacey	2013-11-25T16:30:22	CC_BY_NC_4_0	BJ Stacey	BJ Stacey			2025-01-22T02:25:10.205Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891765105	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/461151	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.579578	-117.136045	130.0						2013-11-15T15:05:01	15	11	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	461151		BJ Stacey	2013-11-18T15:40:12	CC_BY_NC_4_0	BJ Stacey	BJ Stacey			2025-01-22T00:53:14.029Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891137374	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/228749	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.843846	-118.394442	5.0						2013-04-03T13:57:54	3	4	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	228749		naturalist charlie	2013-04-03T22:54:31	CC0_1_0	naturalist charlie	naturalist charlie			2025-01-22T02:27:48.437Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891137076	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/228246	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.509639	-121.941896	28534.0						2013-03-25T14:11:50	25	3	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	228246		Ken-ichi Ueda	2013-04-03T06:31:38	CC0_1_0	Ken-ichi Ueda	Ken-ichi Ueda			2025-01-22T02:27:49.689Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891118626	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/182274	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.971786	-117.264762							2013-01-13T13:57:28	13	1	2013	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	182274		BJ Stacey	2013-01-17T16:51:40	CC_BY_NC_4_0	BJ Stacey	BJ Stacey			2025-01-22T00:53:01.570Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891057412	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/559134	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.418226	-119.829749							2014-03-08	8	3	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	559134		sea-kangaroo	2014-03-09T07:00:40	CC_BY_NC_4_0	Eric Jacob	Eric Jacob			2025-01-22T02:28:15.772Z	StillImage	CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891056195	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/555125	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.729381	-117.256453	46.0						2014-03-02T15:35:41	2	3	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	555125		BJ Stacey	2014-03-06T16:26:35	CC_BY_NC_4_0	BJ Stacey	BJ Stacey			2025-01-22T00:53:23.088Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
891048485	50c9509d-22c7-4a22-a47d-8c48425ef4a7	http://www.inaturalist.org/observations/536705	Chromista	Ochrophyta	Phaeophyceae	Laminariales	Laminariaceae	Macrocystis	Macrocystis pyrifera		SPECIES	Macrocystis pyrifera (L.) C.Agardh	Macrocystis pyrifera		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.456755	-117.694605	69.0						2014-02-16T15:59:21	16	2	2014	5422328	5422328	HUMAN_OBSERVATION	iNaturalist	Observations	536705		BJ Stacey	2014-02-19T20:49:51	CC_BY_NC_4_0	BJ Stacey	BJ Stacey			2025-01-22T02:28:27.272Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
